,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
185,2023-12-15,150.91987403376592,146.1727559081905,155.79042199748622,150.91987403376592,150.91987403376592,-0.023446273758434246,-0.023446273758434246,-0.023446273758434246,-0.023446273758434246,-0.023446273758434246,-0.023446273758434246,0.0,0.0,0.0,150.8964277600075
186,2023-12-18,151.9671577957274,147.18800256220166,156.54596726129458,151.9671577957274,151.9671577957274,-0.07832600152250287,-0.07832600152250287,-0.07832600152250287,-0.07832600152250287,-0.07832600152250287,-0.07832600152250287,0.0,0.0,0.0,151.8888317942049
187,2023-12-19,152.3162523830479,147.11316741213852,156.87401028018994,152.3162523830479,152.3162523830479,-0.41259018777605444,-0.41259018777605444,-0.41259018777605444,-0.41259018777605444,-0.41259018777605444,-0.41259018777605444,0.0,0.0,0.0,151.90366219527183
188,2023-12-20,152.66534697036835,146.9391363539483,156.56281785824288,152.66534697036835,152.66534697036835,-0.7869700710840237,-0.7869700710840237,-0.7869700710840237,-0.7869700710840237,-0.7869700710840237,-0.7869700710840237,0.0,0.0,0.0,151.87837689928432
189,2023-12-21,153.01444155768885,147.91393007432887,157.00630549170072,153.01444155768885,153.01444155768885,-0.6154982767841589,-0.6154982767841589,-0.6154982767841589,-0.6154982767841589,-0.6154982767841589,-0.6154982767841589,0.0,0.0,0.0,152.3989432809047
190,2023-12-22,153.36353614500936,148.5352055578827,158.4464730076493,153.36353614500936,153.36353614500936,-0.023446273758230173,-0.023446273758230173,-0.023446273758230173,-0.023446273758230173,-0.023446273758230173,-0.023446273758230173,0.0,0.0,0.0,153.34008987125114
191,2023-12-26,154.7599144942913,149.73071028978907,159.2267782871499,154.7599144942913,154.7599144942913,-0.41259018777629713,-0.41259018777629713,-0.41259018777629713,-0.41259018777629713,-0.41259018777629713,-0.41259018777629713,0.0,0.0,0.0,154.34732430651502
192,2023-12-27,155.1090090816118,149.5487754841331,159.27848419088502,155.1090090816118,155.1090090816118,-0.7869700710840652,-0.7869700710840652,-0.7869700710840652,-0.7869700710840652,-0.7869700710840652,-0.7869700710840652,0.0,0.0,0.0,154.32203901052773
193,2023-12-28,155.45810366893227,150.12786650567898,159.66382774820005,155.45810366893227,155.45810366893227,-0.6154982767851896,-0.6154982767851896,-0.6154982767851896,-0.6154982767851896,-0.6154982767851896,-0.6154982767851896,0.0,0.0,0.0,154.84260539214708
194,2023-12-29,155.80719825625278,151.34991062786213,160.5861493786975,155.80719825625278,155.80719825625278,-0.023446273756546603,-0.023446273756546603,-0.023446273756546603,-0.023446273756546603,-0.023446273756546603,-0.023446273756546603,0.0,0.0,0.0,155.78375198249623
195,2023-12-30,156.15629284357328,152.74720390986462,161.24376440643877,156.15629284357328,156.15629284357328,0.9584152025345507,0.9584152025345507,0.9584152025345507,0.9584152025345507,0.9584152025345507,0.9584152025345507,0.0,0.0,0.0,157.11470804610784
196,2023-12-31,156.50538743089373,152.9395516665061,162.31893296851086,156.50538743089373,156.50538743089373,0.9584156083901474,0.9584156083901474,0.9584156083901474,0.9584156083901474,0.9584156083901474,0.9584156083901474,0.0,0.0,0.0,157.46380303928387
197,2024-01-01,156.85448201821424,152.1704548551156,161.28991395221553,156.84811207643523,156.87052953959127,-0.07832600152351656,-0.07832600152351656,-0.07832600152351656,-0.07832600152351656,-0.07832600152351656,-0.07832600152351656,0.0,0.0,0.0,156.77615601669072
198,2024-01-02,157.20357660553472,152.49054767499555,161.4650473855311,157.18423899501917,157.2434936137154,-0.41259018777543444,-0.41259018777543444,-0.41259018777543444,-0.41259018777543444,-0.41259018777543444,-0.41259018777543444,0.0,0.0,0.0,156.79098641775929
199,2024-01-03,157.5526711928552,151.94815902146303,161.32431430487577,157.51380446889854,157.62179613350597,-0.7869700710843789,-0.7869700710843789,-0.7869700710843789,-0.7869700710843789,-0.7869700710843789,-0.7869700710843789,0.0,0.0,0.0,156.76570112177083
200,2024-01-04,157.9017657801757,152.4545879312649,161.82799970692835,157.83255422969614,158.01079320642924,-0.6154982767851173,-0.6154982767851173,-0.6154982767851173,-0.6154982767851173,-0.6154982767851173,-0.6154982767851173,0.0,0.0,0.0,157.2862675033906
201,2024-01-05,158.25086036749622,153.70489441583794,162.89803442306876,158.15056539568815,158.39872696669028,-0.023446273759133857,-0.023446273759133857,-0.023446273759133857,-0.023446273759133857,-0.023446273759133857,-0.023446273759133857,0.0,0.0,0.0,158.22741409373708
202,2024-01-06,158.59995495481667,155.3204469942139,164.04543473130346,158.46800698075253,158.80327433901286,0.9584152025355839,0.9584152025355839,0.9584152025355839,0.9584152025355839,0.9584152025355839,0.9584152025355839,0.0,0.0,0.0,159.55837015735224
203,2024-01-07,158.94904954213717,155.1160737097159,164.53123921719856,158.77832301070384,159.19836315939423,0.9584156083897897,0.9584156083897897,0.9584156083897897,0.9584156083897897,0.9584156083897897,0.9584156083897897,0.0,0.0,0.0,159.90746515052697
204,2024-01-08,159.29814412945768,154.57472057858095,164.05882496586082,159.08110299410635,159.59004247004853,-0.07832600152083159,-0.07832600152083159,-0.07832600152083159,-0.07832600152083159,-0.07832600152083159,-0.07832600152083159,0.0,0.0,0.0,159.21981812793686
205,2024-01-09,159.64723871677816,154.5667082578166,163.82662463522237,159.38359491462364,160.007995664501,-0.4125901877756061,-0.4125901877756061,-0.4125901877756061,-0.4125901877756061,-0.4125901877756061,-0.4125901877756061,0.0,0.0,0.0,159.23464852900256
206,2024-01-10,159.99633330409867,154.03183958454127,163.8100130287692,159.67850347782078,160.4179370282472,-0.7869700710841482,-0.7869700710841482,-0.7869700710841482,-0.7869700710841482,-0.7869700710841482,-0.7869700710841482,0.0,0.0,0.0,159.20936323301453
207,2024-01-11,160.34542789141915,154.8776391338762,164.26304298136841,159.9665163458512,160.8248233752844,-0.6154982767844831,-0.6154982767844831,-0.6154982767844831,-0.6154982767844831,-0.6154982767844831,-0.6154982767844831,0.0,0.0,0.0,159.72992961463467
208,2024-01-12,160.69452247873963,156.01322254410383,165.30506043917282,160.27412071909836,161.23781701763252,-0.023446273758929725,-0.023446273758929725,-0.023446273758929725,-0.023446273758929725,-0.023446273758929725,-0.023446273758929725,0.0,0.0,0.0,160.6710762049807
209,2024-01-13,161.0436170660601,157.33480541089688,166.61299154725796,160.5689077893044,161.6532818032115,0.9584152025334373,0.9584152025334373,0.9584152025334373,0.9584152025334373,0.9584152025334373,0.9584152025334373,0.0,0.0,0.0,162.00203226859355
210,2024-01-14,161.39271165338062,157.82265421314906,167.15087854614836,160.85329702319692,162.08118429860534,0.9584156083887817,0.9584156083887817,0.9584156083887817,0.9584156083887817,0.9584156083887817,0.9584156083887817,0.0,0.0,0.0,162.3511272617694
211,2024-01-15,161.7418062407011,157.0313261009707,166.50219463487903,161.13242103961326,162.49698950507346,-0.07832600152153862,-0.07832600152153862,-0.07832600152153862,-0.07832600152153862,-0.07832600152153862,-0.07832600152153862,0.0,0.0,0.0,161.66348023917956
212,2024-01-16,162.0909008280216,157.13134379514062,166.6626008924925,161.41302578481339,162.9268191637646,-0.41259018777577766,-0.41259018777577766,-0.41259018777577766,-0.41259018777577766,-0.41259018777577766,-0.41259018777577766,0.0,0.0,0.0,161.67831064024583
213,2024-01-17,162.43999541534208,157.06079224680784,166.40220719003412,161.67456457352026,163.3539641269461,-0.7869700710844618,-0.7869700710844618,-0.7869700710844618,-0.7869700710844618,-0.7869700710844618,-0.7869700710844618,0.0,0.0,0.0,161.65302534425763
214,2024-01-18,162.78909000266256,157.26359455898992,166.7367388652602,161.94011234757212,163.76253050653656,-0.6154982767844107,-0.6154982767844107,-0.6154982767844107,-0.6154982767844107,-0.6154982767844107,-0.6154982767844107,0.0,0.0,0.0,162.17359172587814
215,2024-01-19,163.13818458998307,158.8873631026584,167.8477900090434,162.2056526123108,164.19850389601723,-0.023446273758725517,-0.023446273758725517,-0.023446273758725517,-0.023446273758725517,-0.023446273758725517,-0.023446273758725517,0.0,0.0,0.0,163.11473831622433
216,2024-01-20,163.48727917730355,159.59273934588856,169.491104170925,162.48382119340786,164.64133298983538,0.9584152025336989,0.9584152025336989,0.9584152025336989,0.9584152025336989,0.9584152025336989,0.9584152025336989,0.0,0.0,0.0,164.44569437983725
217,2024-01-21,163.83637376462403,159.70946507490044,169.42826586382043,162.77987555203,165.06354960925813,0.9584156083890739,0.9584156083890739,0.9584156083890739,0.9584156083890739,0.9584156083890739,0.9584156083890739,0.0,0.0,0.0,164.7947893730131
218,2024-01-22,164.18546835194454,159.3403465247386,169.1556504118864,163.03548531968835,165.49021776391953,-0.07832600152224556,-0.07832600152224556,-0.07832600152224556,-0.07832600152224556,-0.07832600152224556,-0.07832600152224556,0.0,0.0,0.0,164.1071423504223
219,2024-01-23,164.53456293926504,158.961127516136,169.43561918492546,163.33885591668474,165.9448903913111,-0.4125901877760204,-0.4125901877760204,-0.4125901877760204,-0.4125901877760204,-0.4125901877760204,-0.4125901877760204,0.0,0.0,0.0,164.121972751489
220,2024-01-24,164.8836575265855,159.45791878536633,168.96201540026806,163.6170856806143,166.4074080271806,-0.7869700710839336,-0.7869700710839336,-0.7869700710839336,-0.7869700710839336,-0.7869700710839336,-0.7869700710839336,0.0,0.0,0.0,164.09668745550155
221,2024-01-25,165.232752113906,160.0240929921571,169.1919227756869,163.85913114449156,166.8420561758087,-0.6154982767837766,-0.6154982767837766,-0.6154982767837766,-0.6154982767837766,-0.6154982767837766,-0.6154982767837766,0.0,0.0,0.0,164.61725383712223
222,2024-01-26,165.58184670122645,160.590863654511,170.5163033736302,164.10869345945775,167.3090745970275,-0.02344627375778172,-0.02344627375778172,-0.02344627375778172,-0.02344627375778172,-0.02344627375778172,-0.02344627375778172,0.0,0.0,0.0,165.55840042746868
223,2024-01-27,165.93094128854696,161.95606399786496,172.0506748937317,164.3671228025739,167.76675383923703,0.9584152025339608,0.9584152025339608,0.9584152025339608,0.9584152025339608,0.9584152025339608,0.9584152025339608,0.0,0.0,0.0,166.88935649108092
224,2024-01-28,166.28003587586747,162.39114114840714,172.27190100810256,164.63058291011635,168.22950709916043,0.9584156083880659,0.9584156083880659,0.9584156083880659,0.9584156083880659,0.9584156083880659,0.9584156083880659,0.0,0.0,0.0,167.23845148425553
225,2024-01-29,166.62913046318798,161.70047224717436,171.87206782927802,164.8543619384519,168.6921234188382,-0.07832600151956064,-0.07832600151956064,-0.07832600151956064,-0.07832600151956064,-0.07832600151956064,-0.07832600151956064,0.0,0.0,0.0,166.5508044616684
226,2024-01-30,166.97822505050846,161.68707125637405,172.02191995696714,165.0918526164583,169.12861684425187,-0.41259018777626316,-0.41259018777626316,-0.41259018777626316,-0.41259018777626316,-0.41259018777626316,-0.41259018777626316,0.0,0.0,0.0,166.5656348627322
